init_km,end_km,codigo_via,Trimestral 1,Trimestral 2,Trimestral 3,Trimestral 4,Trimestral 5,Trimestral 6,Trimestral 7,Trimestral 8,Trimestral 9,Trimestral 10,Trimestral 1_2402_emisiones,Trimestral 2_2402_emisiones,Trimestral 3_2402_emisiones,Trimestral 4_2402_emisiones,Trimestral 5_2402_emisiones,Trimestral 6_2402_emisiones,Trimestral 7_2402_emisiones,Trimestral 8_2402_emisiones,Trimestral 9_2402_emisiones,Trimestral 10_2402_emisiones,emisiones_per_range
77,78,2402,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.44620325762789,9.592964824120603,104.73018080667593,0.0,4.5810467687771315,0.0,154.35039565720155
78,79,2402,0.0,0.0,0.0,0.0,0.539999999999992,1.0,1.730000000000004,0.796999999999997,1.0,0.0,0.0,0.0,0.0,0.0,9.57047487955939,9.592964824120603,181.1832127955498,23.46931172647129,4.5810467687771315,0.0,228.3970109944782
79,80,2402,0.0,0.0,0.0,0.0,0.0,0.980000000000004,1.9899999999999949,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.40110552763823,208.41305980528458,29.447066156174877,4.5810467687771315,0.0,251.84227825787482
80,81,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.2879999999999967,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.162292072322323,29.447066156174877,4.5810467687771315,0.0,64.19040499727433
81,82,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.0,34.02811292495201
82,83,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3399999999999892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.10834886321281804,34.13646178816483
83,84,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.0,34.02811292495201
84,85,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.0,34.02811292495201
85,86,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.0,34.02811292495201
86,87,2402,0.9200000000000017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.4063934426229534,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.0,35.43450636757496
87,88,2402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5286885245901638,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.0,35.55680144954217
88,89,2402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5286885245901638,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.0,35.55680144954217
89,90,2402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5286885245901638,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.0,35.55680144954217
90,91,2402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5286885245901638,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.0,35.55680144954217
91,92,2402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5286885245901638,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.0,35.55680144954217
92,93,2402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5286885245901638,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.0,35.55680144954217
93,94,2402,0.4000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6114754098360742,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.0,34.63958833478809
94,95,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999716,1.0,1.0,0.3199999999999932,0.0,0.0,0.0,0.0,0.0,0.0,31.41905424200248,29.447066156174877,4.5810467687771315,0.10197540067088863,65.54914256762538
95,96,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.3119999999999976,1.0,1.0,0.3400000000000034,0.0,0.0,0.0,0.0,0.0,0.0,32.67581641168264,29.447066156174877,4.5810467687771315,0.10834886321282257,66.81227819984747
96,97,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.447066156174877,4.5810467687771315,0.0,34.02811292495201
97,98,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.3900000000000006,1.0,0.9200000000000017,0.0,0.0,0.0,0.0,0.0,0.0,52.365090403337966,40.931421957083096,4.5810467687771315,0.2931792769288116,98.170738406127
98,99,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.3930000000000007,1.3649999999999949,0.021000000000000796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.15896105702371,40.19524530317856,0.0962019821443234,0.3186731270965338,81.76908146944312
99,100,2402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9099999999999966,0.0,0.9200000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.796830202119036,0.0,0.2931792769288116,27.090009479047847
